Entity,Code,Year,Proportion of population that has convenient access to public transport
Afghanistan,AFG,2020,54.93
Algeria,DZA,2020,40.566666
Angola,AGO,2020,10.7
Argentina,ARG,2020,57.547825
Australia,AUS,2020,83.48948
Austria,AUT,2020,95.74286
Azerbaijan,AZE,2020,83.1
Bahrain,BHR,2020,21.2
Bangladesh,BGD,2020,51.806664
Belarus,BLR,2020,83.611115
Belgium,BEL,2018,94.336845
Belgium,BEL,2020,92.815384
Benin,BEN,2020,42.414284
Bhutan,BTN,2020,33.5
Bolivia,BOL,2020,27.2
Bosnia and Herzegovina,BIH,2020,71.100006
Botswana,BWA,2020,70.4
Brazil,BRA,2020,69.84865
Bulgaria,BGR,2020,85.25
Burkina Faso,BFA,2020,37.7
Canada,CAN,2016,77.122856
Canada,CAN,2020,72.9
Chile,CHL,2020,86.46
Chile,CHL,2022,89.957146
China,CHN,2020,55.192593
Colombia,COL,2020,43.449997
Costa Rica,CRI,2020,36.325
Cote d'Ivoire,CIV,2020,50.466663
Croatia,HRV,2020,88.740005
Cuba,CUB,2020,55.61111
Cyprus,CYP,2020,90.2
Czechia,CZE,2020,90.36875
Democratic Republic of Congo,COD,2020,11
Denmark,DNK,2020,93.71
Dominican Republic,DOM,2020,15.685715
Ecuador,ECU,2020,33.784615
Egypt,EGY,2020,21.8125
El Salvador,SLV,2020,28.4
Estonia,EST,2020,96.86667
Ethiopia,ETH,2020,31.785715
Fiji,FJI,2020,24.466667
Finland,FIN,2020,94.2375
France,FRA,2020,95.29852
French Polynesia,PYF,2020,19.4
Germany,DEU,2020,93.27524
Ghana,GHA,2020,52.5
Greece,GRC,2020,90.38333
Guatemala,GTM,2020,45.266666
Guinea-Bissau,GNB,2020,43.300003
Haiti,HTI,2020,17.566668
Honduras,HND,2020,21.34
Hungary,HUN,2020,92.27857
Iceland,ISL,2020,91.4
India,IND,2020,38.800003
Indonesia,IDN,2020,32.93333
Iran,IRN,2020,38.003704
Iraq,IRQ,2020,8.1
Ireland,IRL,2020,90.18
Israel,ISR,2017,99.87142
Italy,ITA,2020,94.53265
Jamaica,JAM,2020,32.9
Japan,JPN,2020,56.8
Jordan,JOR,2020,7.3
Kazakhstan,KAZ,2020,34.71111
Kenya,KEN,2020,29.785715
Kuwait,KWT,2020,39
Kyrgyzstan,KGZ,2020,53.309093
Latvia,LVA,2020,89.700005
Lebanon,LBN,2020,23.85
Lithuania,LTU,2020,88.479996
Luxembourg,LUX,2020,97.4
Madagascar,MDG,2020,56.79
Malawi,MWI,2020,41.533337
Malaysia,MYS,2020,39.6
Maldives,MDV,2020,98.8
Mali,MLI,2020,67
Malta,MLT,2020,97.3
Mexico,MEX,2020,39.17647
Monaco,MCO,2020,74
Mongolia,MNG,2020,47.3
Morocco,MAR,2020,48.86
Mozambique,MOZ,2020,35.44
Myanmar,MMR,2020,42.271427
Nepal,NPL,2020,32.483334
Netherlands,NLD,2020,86.25208
New Zealand,NZL,2020,94.12222
Nicaragua,NIC,2020,49.32857
Niger,NER,2020,17.2
Nigeria,NGA,2020,19.525
North Korea,PRK,2020,28.0625
Northern Mariana Islands,MNP,2020,7.8
Norway,NOR,2020,90.2
Oman,OMN,2020,27.925
Pakistan,PAK,2020,18.496296
Palestine,PSE,2020,23.2875
Panama,PAN,2020,32.166668
Papua New Guinea,PNG,2020,18.599998
Paraguay,PRY,2020,11.9
Peru,PER,2020,23.8
Philippines,PHL,2020,31.5
Poland,POL,2020,92.468254
Portugal,PRT,2020,92.957146
Qatar,QAT,2020,91.68
Romania,ROU,2020,74.64666
Russia,RUS,2020,77.86667
Rwanda,RWA,2020,30
Samoa,WSM,2020,18.8
Saudi Arabia,SAU,2020,30.4
Senegal,SEN,2020,37.27778
Serbia,SRB,2020,53.233334
Singapore,SGP,2017,99
Slovakia,SVK,2020,92.41429
Slovenia,SVN,2020,92.5
Solomon Islands,SLB,2020,7.1
South Africa,ZAF,2020,13.2
South Korea,KOR,2020,69.6
Spain,ESP,2020,95.98032
Sri Lanka,LKA,2020,45.457146
Sudan,SDN,2020,13.888889
Sweden,SWE,2020,87.11333
Switzerland,CHE,2018,92.07692
Switzerland,CHE,2020,93.05
Tajikistan,TJK,2020,41.00769
Tanzania,TZA,2020,37.6
Thailand,THA,2020,27.199999
Togo,TGO,2020,46.63333
Tunisia,TUN,2021,56.355564
Turkey,TUR,2020,58.3
Turkmenistan,TKM,2020,23.08889
Uganda,UGA,2020,18.025
Ukraine,UKR,2020,81.666664
United Arab Emirates,ARE,2020,50.75
United Kingdom,GBR,2020,95.55827
United States,USA,2020,58.905712
Uruguay,URY,2020,55.7
Uzbekistan,UZB,2020,18.942858
Venezuela,VEN,2020,42.465385
Vietnam,VNM,2020,48.666668
Yemen,YEM,2020,41.019997
Zambia,ZMB,2020,9.4
Zimbabwe,ZWE,2020,74.1
